STATION,NAME,DATE,AWND,FMTM,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/1/2005,1.79,1801,,1603,0,,0,17,-3,4,-11,,310,340,0,8.1,8.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/2/2005,2.68,1030,,1038,0.04,,0.8,17,8,13,2,0,350,340,0,12.1,12.1,,,,,,,,,,,,,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/3/2005,0.45,952,,256,0.06,,0.4,17,17,27,7,0,350,330,0,6,6.9,,,,,,,,,,,,,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/4/2005,2.91,2306,,2258,0.32,,3.9,18,24,28,20,0,180,180,0,10.1,13,,,,,,,,,,,,,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/5/2005,12.08,2110,,2142,0.24,,4.2,20,25,30,19,,190,190,0,29.1,40,1,,,,,,,,1,,,1,,,1,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/6/2005,14.09,1429,,1410,0.16,,3,23,30,33,27,,180,190,0,29.1,38.9,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/7/2005,2.01,621,,620,0,,0,24,24,28,19,,180,180,0,13,15,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/8/2005,0.89,2330,,2327,0,,0.1,24,14,21,6,0,120,170,0,10.1,16.1,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/9/2005,8.72,103,,142,0,,0,23,7,26,-12,0,180,230,0,17.9,25.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/10/2005,1.79,1718,,1624,0,,0,23,-23,-8,-38,0,350,220,0,6,6.9,1,,,,,,,,,,,1,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/11/2005,1.12,714,,714,0,,0,23,-39,-34,-45,0,350,350,0,6.9,6.9,1,1,,,,,,,,,,1,,,,,,,,1,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/12/2005,1.12,550,,2111,0,,0,23,-43,-40,-47,0,340,300,0,6,6,1,,,,,,,,,,,,,,,,,,,1,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/13/2005,0.22,1625,,1625,0,,0,22,-32,-20,-45,0,120,130,0,4.9,4.9,1,1,,,,,,,,,,1,,,,,,,,1,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/14/2005,0.45,2354,,1950,0.21,,2.2,22,-12,-4,-21,0,180,160,0,2.9,4.9,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/15/2005,1.12,916,,839,0.14,,3.2,23,-17,0,-34,0,180,180,0,6,8.1,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/16/2005,2.68,2310,,2309,0,,0,26,-30,-18,-42,0,330,330,0,10.1,12.1,1,,,,,,,,,,,1,,,,,,,1,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/17/2005,4.47,652,,707,0,,0,25,-31,-23,-39,0,330,320,0,12.1,12.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/18/2005,0.89,1527,,1527,0,,0,25,-29,-18,-40,,360,360,0,8.9,8.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/19/2005,0.67,2352,,1936,0,,0,25,-30,-22,-38,0,340,60,0,4.9,6.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/20/2005,0.45,119,,1201,0,,0,25,-20,-7,-34,0,330,70,0,6,6,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/21/2005,1.34,2127,,2140,0,,0,25,-4,6,-14,0,310,330,0,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/22/2005,1.12,317,,320,0,,0,25,0,7,-8,0,330,330,0,8.9,8.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/23/2005,0.89,151,,1640,0,,0,25,-1,6,-9,0,200,130,0,6,6,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/24/2005,0,2155,,2153,0,,0,24,0,7,-7,0,290,300,0,2.9,4.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/25/2005,0,2140,,2141,0,,0,24,-5,3,-13,0,110,120,0,2.9,2.9,,,,,,,,,,,,,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/26/2005,0.22,2320,,2320,0,,0,23,-11,0,-23,0,310,300,0,6,6,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/27/2005,4.25,2156,,2155,0,,0,23,-13,-3,-23,0,310,320,0,8.9,10.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/28/2005,5.14,1133,,1132,0,,0,23,-17,-6,-28,0,320,330,0,13,14.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/29/2005,4.47,2359,,2358,0,,0,23,-15,-5,-26,,330,330,0,6.9,8.1,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/30/2005,2.01,840,,119,0,,0,23,-21,-9,-33,0,330,320,0,8.1,8.9,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",1/31/2005,0.89,2355,,2355,0,,0,23,-28,-20,-36,,300,300,0,2.9,2.9,1,,,,,,,,,,,1,,,,,,,1,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/1/2005,1.12,2346,,1058,0,,0,22,-32,-22,-41,,330,350,0,4.9,6,1,,,,,,,,,,,1,,,,,,,1,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/2/2005,0.67,2222,,2222,0,,0,22,-35,-27,-43,,330,330,0,4.9,4.9,1,1,,,,,,,,,,1,,,,,,,,1,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/3/2005,0.22,714,,1757,0,,0,22,-33,-23,-43,0,310,320,0,4.9,4.9,1,,,,,,,,,,,1,,,,,,,,1,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/4/2005,0.67,1852,,1853,0,,0,22,-30,-19,-41,,320,320,0,6,6,1,,,,,,,,,,,1,,,,,,,1,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/5/2005,0.45,400,,400,0,,0,22,-28,-17,-39,,320,320,0,6,6,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/6/2005,0.22,2155,,1533,0,,0,22,-14,2,-29,,350,360,0,4.9,6,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/7/2005,0.89,1722,,1722,0,,0,22,-2,7,-10,,310,310,0,6,6,,,,,,,,,,,,,,,,,,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/8/2005,2.46,1749,,1755,0,,0.1,22,9,23,-6,,120,140,0,10.1,13,,,,,,,,,,,,,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/9/2005,2.68,2211,,2225,0,,0,22,11,20,2,,120,130,0,10.1,12.1,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/10/2005,6.71,1254,,1057,0.04,,1.2,22,2,9,-6,,240,180,0,15,17.9,,,,,,,,,,,,,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/11/2005,0.89,955,,122,0.02,,0.3,23,-14,-4,-24,,50,230,0,6,6.9,1,,,,,,,,,,,1,,,,,1,,,,,
USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",2/12/2005,1.79,1850,,1848,0,,0,23,-18,-7,-29,,20,20,0,8.9,10.1,1,,,,,,,,,,,,,,,,1,,1,,,
